"gene_ID"	"chromosome"	"log2FoldChange"	"padj"	"abs"
"HCON_00000020"	"hcontortus_chr1_Celeg_TT_arrow_pilon"	0.906931696079218	2.07058909133332e-14	0.906931696079218
"HCON_00000030"	"hcontortus_chr1_Celeg_TT_arrow_pilon"	0.325000677592271	0.145112642377381	0.325000677592271
"HCON_00000060"	"hcontortus_chr1_Celeg_TT_arrow_pilon"	-0.475882715288569	0.111123041568024	0.475882715288569
"HCON_00000070"	"hcontortus_chr1_Celeg_TT_arrow_pilon"	0.79746688602578	4.25592475327418e-13	0.79746688602578
"HCON_00000140"	"hcontortus_chr1_Celeg_TT_arrow_pilon"	-2.03202276892007	4.24373751586418e-11	2.03202276892007
"HCON_00000190"	"hcontortus_chr1_Celeg_TT_arrow_pilon"	0.559342197729421	2.50579838764588e-05	0.559342197729421
"HCON_00000200"	"hcontortus_chr1_Celeg_TT_arrow_pilon"	-0.293926069615752	0.657688643082921	0.293926069615752
"HCON_00000250"	"hcontortus_chr1_Celeg_TT_arrow_pilon"	-0.359321296720201	0.537765803922019	0.359321296720201
"HCON_00000260"	"hcontortus_chr1_Celeg_TT_arrow_pilon"	0.69853657810429	2.89517876428642e-07	0.69853657810429
"HCON_00000290"	"hcontortus_chr1_Celeg_TT_arrow_pilon"	-4.69133144332542	1.43583145725947e-139	4.69133144332542
"HCON_00000330"	"hcontortus_chr1_Celeg_TT_arrow_pilon"	0.667042774705733	0.588888657985961	0.667042774705733
"HCON_00000380"	"hcontortus_chr1_Celeg_TT_arrow_pilon"	0.230557318510344	0.348167431649305	0.230557318510344
"HCON_00000450"	"hcontortus_chr1_Celeg_TT_arrow_pilon"	0.797811071922622	9.88906283453905e-06	0.797811071922622
"HCON_00000480"	"hcontortus_chr1_Celeg_TT_arrow_pilon"	0.229873232727404	0.087860403327436	0.229873232727404
"HCON_00000490"	"hcontortus_chr1_Celeg_TT_arrow_pilon"	0.777411696495117	1.62356280356784e-07	0.777411696495117
"HCON_00000500"	"hcontortus_chr1_Celeg_TT_arrow_pilon"	0.966793484434616	0.00110500714012542	0.966793484434616
"HCON_00000510"	"hcontortus_chr1_Celeg_TT_arrow_pilon"	1.13192203117014	3.19159792724254e-14	1.13192203117014
"HCON_00000570"	"hcontortus_chr1_Celeg_TT_arrow_pilon"	-0.666714578035562	0.0112178428148642	0.666714578035562
"HCON_00000600"	"hcontortus_chr1_Celeg_TT_arrow_pilon"	-7.38150847310272	7.90081678398813e-09	7.38150847310272
"HCON_00000660"	"hcontortus_chr1_Celeg_TT_arrow_pilon"	1.93563847854483	5.42201837297724e-19	1.93563847854483
